id	style	word	pronunciation
PLX:1PL EXCL.pro		chúng ta		
PLX:1PL INCL.pro		chúng tôi		
PLX:1PL.pro		ta		
PLX:1SG.pro		tao		
PLX:1SG.pro		tôi		
PLX:2PL.pro		các mày		
PLX:2SG.pro		mày (1)		
PLX:3PL.pro		chúng		cmn:眾, zhòng
PLX:3PL.pro		họ		:*gā́ (户, hù)
PLX:3SG F.pro		cô ta		
PLX:3SG INAN.pro		nó		
PLX:3SG M.pro		hắn		
PLX:3SG.pro		nó		
PLX:above.pp		trên		
PLX:after.pp		sau		
PLX:and.cnj		và		:*wA: (和, hé)
PLX:at.pp		tại (1)		cmn:在, zài
PLX:at.pp		ở (2)		
PLX:be late.v		muộn (1)		:* mwán (晚, wǎn)
PLX:because.cnj		tại (2)		cmn:在, zài
PLX:because.cnj		vì		cmn:為, wèi
PLX:behind.pp		sau		
PLX:beside.pp		bên cạnh		
PLX:carry in hand.v		mang		
PLX:carry on head.v		đội (2)		:(EH) *tǝ̄h (戴, dài)
PLX:carry on shoulder.v		vác		
PLX:carry under arm.v		cắp		
PLX:child-in-law.n		con dâu		
PLX:child-in-law.n		con dấu		
PLX:child-in-law.n		con rể		
PLX:daughter-in-law (of man).n		con dâu		
PLX:daughter-in-law (of woman).n		con dấu		
PLX:day after tomorrow.adv		ngày kia		
PLX:day before yesterday.adv		hôm kia		
PLX:fall silent.v		im		
PLX:father's brother.n		bác		cmn:伯, bó
PLX:father's sister.n		cô		cmn:姑, gū
PLX:father's sister.n		thím		cmn:婶, shěn
PLX:father-in-law (of man).n		bố vợ		
PLX:father-in-law (of woman).n		bố chồng		
PLX:fermented alcohol.n		rượu		:*cjǝ́w (酒, jiǔ)
PLX:fish poison root.n		Thuốc độc cho con cá		
PLX:fish trap.n		bẫy cá		
PLX:head hair.n		tóc		
PLX:how many pieces.pro		mấy		
PLX:how much.pro		bao nhiêu		
PLX:how.pro		sao (2)		
PLX:if.cnj		nếu		
PLX:in front of.pp		trước		
PLX:in.pp		trong (1)		
PLX:inside.pp		trong (1)		
PLX:manioc bread.n		bánh bột sắn		
PLX:men's house.n		nhà đàn ông		
PLX:mother's brother.n		cậu		cmn:舅, jiù
PLX:mother's sister.n		m		cmn:母, mǔ
PLX:mother-in-law (of man).n		mẹ vợ		
PLX:mother-in-law (of woman).n		mẹ chồng		
PLX:netbag.n		túi lưới	
PLX:nothing.pro		sự không có		
PLX:older sibling.n		anh chị		
PLX:or.cnj		hoặc		cmn:或, huò
PLX:outside.pp		ngoài		cmn:外, wài
PLX:parents-in-law.n		bố mẹ vợ chồng		
PLX:sibling's child.n		cháu		
PLX:sibling-in-law.n		chị dâu		
PLX:son-in-law (of man).n		con rể		
PLX:son-in-law (of woman).n		con rể		
PLX:stab to death.v		đâm		
PLX:that.pro		đó		
PLX:this.pro		này		
PLX:under.pp		dưới		
PLX:what.pro		gì		
PLX:when.pro		khi nào		
PLX:where.pro		đâu		
PLX:which Q.pro		nào		
PLX:who.pro		ai		
PLX:why.pro		tại sao		
PLX:with.pp		với		
PLX:without.pp		không có		
PLX:yes.ptcl		vâng	
PLX:younger sibling.n		em		
PWN:abdomen.n.01		bụng		
PWN:above.r.02		cao (1)		cmn:高, gāo
PWN:accuse.v.01		tố cáo		cmn:告訴, gào sù
PWN:acerate_leaf.n.01		lá kim		
PWN:acorn.n.01		quả đấu		
PWN:acquit.v.01		tha bổng		
PWN:act.v.02		làm		
PWN:address.n.03		diễn văn		
PWN:address.n.06		địa chỉ		cmn:地址, dì zhǐ
PWN:admit.v.01		thừa nhận		cmn:承認, chéng rèn
PWN:adobe.n.02		gạch sống		
PWN:adornment.n.01		đồ trang trí		
PWN:adultery.n.01		tội ngoại tình		
PWN:adz.n.01		rìu lưỡi vòm		
PWN:afternoon.n.01		buổi chiều		
PWN:again.r.01		lại (2)		
PWN:age.n.01		tuổi		:*sjwaś,(歲, sùi)
PWN:air.n.01		hơi		
PWN:air.n.01		không khí		cmn:空气, kōng qì
PWN:airplane.n.01		máy bay		
PWN:airplane.n.01		phi cơ		cmn:飛機, fēi jī
PWN:all.a.01		toàn bộ		cmn:全部, quán bù
PWN:all.a.01		tất cả		
PWN:allege.v.01		nói		
PWN:alligator.n.02		cá sấu		
PWN:alone.r.02		một mình		
PWN:altar.n.02		bàn thờ		
PWN:always.r.01		luôn luôn		
PWN:amazed.s.01		ngạc nhiên		:愕然, è rán
PWN:ambush.n.01		phục kích		cmn:伏擊, fú jī
PWN:ancestor.n.01		tổ tiên		cmn:祖先, zǔ xiān
PWN:anchor.n.01		neo		
PWN:anger.n.02		sự tức giận		
PWN:animal.n.01		động mật		cmn:动物, dòng wù
PWN:animation.n.01		cuộc sống		
PWN:ankle.n.01		cổ chân		
PWN:announce.v.01		báo (1)		cmn:報, bào
PWN:answer.v.01		trả lời		
PWN:ant.n.01		kiến		
PWN:anteater.n.02		loài thú ăn kiến		
PWN:anvil.n.01		đe		
PWN:anxiety.n.02		mối lo		
PWN:apparel.n.01		quần aó		
PWN:apparel.n.01		y phục		cmn:衣服, yīfu
PWN:approach.v.01		đến gần		
PWN:apt.s.03		thông minh		cmn:聰明, cōng míng
PWN:arch.n.04		cửa tò vò		
PWN:arm.n.01		tay		
PWN:armor.n.01		vỏ sắt		
PWN:armpit.n.01		nách		
PWN:army.n.01		quân đội		cmn:軍隊, jūn duì
PWN:arrive.v.01		lại (1)		
PWN:arrive.v.01		đến		
PWN:arrive.v.01		đến		
PWN:arrow.n.02		tên (2)		:(EH) *cjanh (箭, jiàn)
PWN:arson.n.01		sự đốt phá		
PWN:artery.n.01		tĩnh mạch		cmn:靜脈, jìng mài
PWN:ascend.v.01		lên		
PWN:ash.n.01		tro		
PWN:ask.v.02		xin		
PWN:ask.v.05		hỏi		
PWN:attack.n.05		tấn công		cmn:進攻, jìn gōng
PWN:aunt.n.01		cô		cmn:姑, gū
PWN:aunt.n.01		dì		cmn:姨, yí
PWN:aurora_borealis.n.01		cực quang		cmn:極光, jí guāng
PWN:avaricious.s.01		tham		cmn:貪, tān
PWN:awl.n.01		dùi/giùi		:*ḍhwǝj (槌, chuí)
PWN:ax.n.01		rìu		
PWN:axle.n.01		trục		
PWN:baby.n.01		con bé		
PWN:back.n.01		lưng		
PWN:bad.a.01		xấu (1)		
PWN:bait.n.02		mồi		
PWN:bake.v.02		bỏ lò		
PWN:bald.s.02		hói		
PWN:ball.n.03		bóng (2)		
PWN:bamboo.n.01		tre		
PWN:banana.n.01		cây chuối	
PWN:banana.n.02		chuối		
PWN:banyan.n.01		si		
PWN:bare.s.01		trần		
PWN:bark.n.01		vỏ		
PWN:barley.n.02		mạch		cmn:麥, mài
PWN:barter.v.01		buôn bán		
PWN:basket.n.01		nong		:*?doŋ
PWN:basket.n.01		rổ		
PWN:bat.n.01		dơi		
PWN:bathe.v.01		tắm		
PWN:battery.n.02		pin		fra:pile
PWN:battle-ax.n.01		rìu chiến		
PWN:battle.n.01		chiến tranh		cmn:戰爭, zhàn zhēng
PWN:bay.n.01		vịnh		
PWN:be.v.03		là		
PWN:be.v.11		sống (1)		
PWN:be_born.v.01		sinh (2)		cmn:生, shēng
PWN:bead.n.01		hạt (1)		
PWN:beak.n.02		mỏ		
PWN:beam.n.02		xà		
PWN:bean.n.01		đậu		cmn:豆, dòu
PWN:bear.n.01		gấu		
PWN:beard.n.01		râu		
PWN:beautiful.a.01		đẹp		
PWN:beaver.n.07		hải ly		cmn:海狸, hǎi lí
PWN:become.v.01		trở thành		
PWN:bed.n.01		giường		:*ʒ̣(h)aŋ (床, chuáng)
PWN:bee.n.01		ong		
PWN:beech.n.01		sồi		
PWN:beehive.n.04		tổ ong		
PWN:beer.n.01		bia		
PWN:beeswax.n.01		sáp ong		
PWN:beget.v.01		sinh (1)		cmn:生, shēng
PWN:beget.v.01		đẻ		
PWN:beggar.n.01		người ăn mày		
PWN:begin.v.03		bắt đầu		
PWN:beginning.n.01		lúc bắt đầu		
PWN:believe.v.01		tin		cmn:信, xìn
PWN:believe.v.03		tin	
PWN:belt.n.02		dây lưng		
PWN:beverage.n.01		đồ uống		
PWN:bicycle.n.01		xe đạp		
PWN:big_brother.n.02		anh		
PWN:big_sister.n.01		chị		:(EH) *cjǝ́j (姐, jiě)
PWN:bill.n.02		hoá đơn		cmn:貨單, huò dān
PWN:billy.n.02		dê đực		
PWN:birch.n.02		bulô		fra:bouleau
PWN:bird.n.01		chim		
PWN:birth_certificate.n.01		giấy khai sinh		
PWN:bite.v.01		cắn		
PWN:bitter.s.06		đắng		
PWN:black.a.01		đen		
PWN:blacksmith.n.01		thợ rèn		
PWN:blanket.n.01		mền		
PWN:blast.v.07		bắn		
PWN:bless.v.01		ban phúc		
PWN:blind.a.01		mù		
PWN:blink.v.01		nháy		
PWN:blister.n.03		chỗ giộp da		
PWN:blood.n.01		máu		
PWN:blow.v.02		thổi		
PWN:blue.s.01		xanh		cmn:青, qīng
PWN:blunt.s.02		cùn		
PWN:board.n.02		ván		:(EH) *prā́n (版, bǎn)
PWN:boast.v.01		khoe		:*khwra:_ (誇, kuā)
PWN:boat.n.01		thuyền		cmn:船, chuán
PWN:boat.n.01		tàu		
PWN:body.n.01		mình		
PWN:body.n.01		thân thể		cmn:设体, shēn tǐ
PWN:body_hair.n.01		lông		
PWN:body_louse.n.01		rận		
PWN:boil.n.01		nhọt		
PWN:boil.v.01		sôi		
PWN:boisterous.s.03		động		cmn:动, dòng
PWN:bolt.n.03		chốt cửa		
PWN:bomb.n.01		bom		fra:bombe
PWN:bone.n.01		xương		
PWN:book.n.01		sách		cmn:冊, cè
PWN:boomerang.n.01		bumơrang		eng:boomerang
PWN:boot.n.01		giày ống		
PWN:bore.v.02		khoan đào		
PWN:borrow.v.01		vay		
PWN:bottle.n.01		chai		
PWN:bottom.n.02		đáy		:*tǝ̄j (底, dǐ)
PWN:boundary.n.02		biên giới		cmn:邊界, biān jiè
PWN:bow.n.04		cung		cmn:弓, gōng
PWN:bowl.n.01		bát		
PWN:bowl.n.01		chén		:(EH) *c̣iā́n (盞, zhǎn)
PWN:bracelet.n.02		vòng tay		
PWN:brackish.s.02		hơi mặn		
PWN:braid.n.01		dải viền		
PWN:braid.v.01		dệt		
PWN:brain.n.01		óc		
PWN:brainsick.s.01		diên cuồng		cmn:瘨狂, diān kuàng
PWN:brake.v.02		hãm		
PWN:branch.n.02		cành / ngành	
PWN:branch.n.03		cành		
PWN:brave.a.01		can đảm		cmn:肝膽, gān dǎm
PWN:bread.n.01		bánh mì		
PWN:break.v.05		làm vỡ		
PWN:breakfast.n.01		bữa ăn sáng		
PWN:breast.n.02		ngực		
PWN:breathe.v.01		thở		
PWN:brick.n.01		gạch		
PWN:bridge.n.01		cầu (1)		
PWN:bright.a.01		sáng		
PWN:bring.v.01		đem		
PWN:bring_around.v.02		chữa (bệnh)		:*ʒ̣(h)ah (助, zhù)
PWN:broken.s.11		vỡ		
PWN:broom.n.01		chổi		
PWN:brother.n.01		anh em		
PWN:brother.n.01		em trai		
PWN:brow.n.01		trán		
PWN:bruise.n.01		vết thâm tím		
PWN:brush.n.02		chải		
PWN:bull.n.01		bò đực		:*ŋwua *thUk
PWN:bumble.v.03		nói lắp		
PWN:bunch.n.01		chùm		
PWN:burn.v.01		cháy	
PWN:burn.v.03		cháy		
PWN:burn.v.07		đốt cháy		
PWN:bury.v.02		chôn		
PWN:bus.n.01		(xe) búyt		fra:bus
PWN:butter.n.01		bơ		fra:buerre
PWN:butter_knife.n.01		dao (1)		:*tāw (刀, dāo)
PWN:butterfly.n.01		bươm bướm		
PWN:buttocks.n.01		mông		
PWN:button.n.01		nút (1)		
PWN:buy.v.01		mua		
PWN:cadaver.n.01		xác		
PWN:calendar.n.03		lịch		cmn:曆, lì
PWN:calendar_month.n.01		tháng		
PWN:calf.n.01		bò con		
PWN:calf.n.02		bắp chân		
PWN:call.v.05		kêu		:(EH) *kiǝ̄wh (叫, jiào)
PWN:call_on_the_carpet.v.01		mắng		
PWN:calm.a.02		không nổi sóng		
PWN:camel.n.01		lạc đà		cmn:駱駝, lùo tuó
PWN:camp.n.03		trại		
PWN:can.n.01		hộp		:*ɣǝ̄p (盒, hé)
PWN:candle.n.01		nến		
PWN:canoe.n.01		xuồng		
PWN:cap.n.01		mũ		:(EH) *mǝ̄wh (帽, mào)
PWN:cap.n.01		nón		
PWN:cape.n.01		mũi đất		
PWN:car.n.01		(xe) ô tô		fra:automobile
PWN:carcase.n.01		xác súc vật		
PWN:caribou.n.01		nai tuyết		
PWN:carpenter.n.01		thợ mộc		
PWN:carve.v.01		khắc		cmn:刻, kè
PWN:carve.v.01		vạc		:*khǝ̄k (刻, kè)
PWN:cassava.n.02		sắn		
PWN:cast.v.07		đúc		
PWN:cast.v.07		đổ khuôn		
PWN:cat.n.01		mèo		
PWN:catch.v.04		bắt		
PWN:cattle.n.01		bò (1)		
PWN:cause.n.01		nguyên nhân		cmn:原因, yuán yīn
PWN:cave.n.01		hang		
PWN:center.n.01		giữa		
PWN:certain.a.03		chắc		
PWN:cerumen.n.01		ráy		
PWN:chain.n.03		xích		
PWN:chair.n.01		ghế		:(EH) *krǝ́j (几, jǐ)
PWN:chameleon.n.03		tắc kè hoa		
PWN:change.v.01		biến		cmn:變, biàn
PWN:change.v.01		đổi		
PWN:charcoal.n.01		than		cmn:碳, tàn
PWN:cheap.a.01		rẻ		
PWN:cheek.n.01		má		
PWN:cheese.n.01		phó mát		fra:fromage
PWN:chew.v.01		nhai		
PWN:chicken.n.02		gà		
PWN:child.n.01		con (1)		
PWN:child.n.02		con (2)		
PWN:chili.n.02		ớt		
PWN:chimney.n.01		ống khói		
PWN:chin.n.01		cằm		
PWN:chisel.n.01		đục		
PWN:choke.v.04		nghẹt		
PWN:choose.v.01		chọn		
PWN:chop.v.01		chặt		
PWN:church.n.02		nhà thờ		
PWN:cigarette.n.01		thuốc lá		
PWN:circle.n.03		vòng		
PWN:circumcision.n.03		sự cắt bao quy đầu		
PWN:citizen.n.01		công dân		cmn:公民, gōng mín
PWN:citizenry.n.01		dân tộc		cmn:民族, mín zú
PWN:citrus.n.01		giống cam quít		
PWN:clavicle.n.01		xương đòn		
PWN:claw.n.01		vuốt		
PWN:clay.n.01		sét		
PWN:clean.a.01		sạch		
PWN:clear.a.01		trong (2)		
PWN:cleave.v.01		chẻ		
PWN:climb.v.01		leo		
PWN:cloak.n.02		aó choàng		
PWN:clock.n.01		đồng hồ		
PWN:close.v.01		đóng		
PWN:cloud.n.02		mây		
PWN:club.n.03		dùi		
PWN:coat.n.01		aó lạnh		
PWN:cobbler.n.01		thợ đóng giày		
PWN:cock.n.04		gà trống		
PWN:cockroach.n.01		gián		
PWN:coconut.n.02		dừa		
PWN:coffee.n.01		cà phê		fra:café
PWN:coin.n.01		đồng tiền		
PWN:cold.a.01		lạnh		:*riḗŋ (冷, lěng)
PWN:cold.n.01		cảm		cmn:感, gǎn
PWN:collar.n.01		cổ aó		
PWN:color.n.01		màu		
PWN:colt.n.01		ngựa con		
PWN:comb.n.01		lược		
PWN:commiseration.n.01		lòng trắc ẩn		
PWN:common_eel.n.01		lươn		
